list-none-none,1,100,1,300,394691,1315
list-none-none,1,1000,1,3000,3916236,1305
list-none-none,1,10000,1,30000,427870766,14262
list-none-none,2,1,1,6,255285,42547
list-none-none,2,10,1,60,305175,5086
list-none-none,2,100,1,600,561437,935
list-none-none,2,1000,1,6000,16412053,2735
list-none-none,4,1,1,12,593073,49422
list-none-none,4,10,1,120,757396,6311
list-none-none,4,100,1,1200,730645,608
list-none-none,4,1000,1,12000,37052587,3087
list-none-none,8,10,1,240,760696,3169
list-none-none,12,1000,1,36000,63185099,1755
list-i-none,2,1,1,6,242566,40427
list-d-none,2,1,1,6,116541,19423
list-il-none,2,1,1,6,178933,29822
list-dl-none,2,1,1,6,2955425,492570
list-i-none,2,2,1,12,508075,42339
list-d-none,2,2,1,12,81988,6832
list-il-none,2,2,1,12,118964,9913
list-dl-none,2,2,1,12,110984,9248
list-i-none,2,4,1,24,109817,4575
list-d-none,2,4,1,24,120368,5015
list-il-none,2,4,1,24,157555,6564
list-dl-none,2,4,1,24,99799,4158
list-i-none,2,8,1,48,404482,8426
list-d-none,2,8,1,48,135885,2830
list-il-none,2,8,1,48,116909,2435
list-dl-none,2,8,1,48,104702,2181
list-i-none,2,16,1,96,139433,1452
list-d-none,2,16,1,96,262341,2732
list-il-none,2,16,1,96,137218,1429
list-dl-none,2,16,1,96,134396,1399
list-i-none,2,32,1,192,182077,948
list-d-none,2,32,1,192,178500,929
list-il-none,2,32,1,192,257761,1342
list-dl-none,2,32,1,192,176106,917
list-i-none,4,1,1,12,174393,14532
list-d-none,4,1,1,12,179440,14953
list-il-none,4,1,1,12,154536,12878
list-dl-none,4,1,1,12,157627,13135
list-i-none,4,2,1,24,148501,6187
list-d-none,4,2,1,24,153190,6382
list-il-none,4,2,1,24,189451,7893
list-dl-none,4,2,1,24,323495,13478
list-i-none,4,4,1,48,139199,2899
list-d-none,4,4,1,48,160983,3353
list-il-none,4,4,1,48,262317,5464
list-dl-none,4,4,1,48,185224,3858
list-i-none,4,8,1,96,170181,1772
list-d-none,4,8,1,96,160403,1670
list-il-none,4,8,1,96,157258,1638
list-dl-none,4,8,1,96,165533,1724
list-d-none,4,16,1,192,180239,938
list-il-none,4,16,1,192,427012,2224
list-i-none,4,32,1,384,365874,952
list-dl-none,4,32,1,384,413666,1077
list-i-none,8,1,1,24,432511,18021
list-d-none,8,1,1,24,406672,16944
list-il-none,8,1,1,24,391791,16324
list-dl-none,8,1,1,24,279764,11656
list-i-none,8,2,1,48,329286,6860
list-d-none,8,2,1,48,294099,6127
list-dl-none,8,2,1,48,267918,5581
list-i-none,8,4,1,96,258236,2689
list-d-none,8,4,1,96,290573,3026
list-dl-none,8,4,1,96,328977,3426
list-i-none,8,8,1,192,552562,2877
list-d-none,8,8,1,192,306497,1596
list-il-none,8,8,1,192,382239,1990
list-dl-none,8,8,1,192,409282,2131
list-i-none,8,32,1,768,825614,1075
list-dl-none,8,32,1,768,991358,1290
list-i-none,12,1,1,36,502805,13966
list-d-none,12,1,1,36,528421,14678
list-il-none,12,1,1,36,457669,12713
list-dl-none,12,1,1,36,724100,20113
list-d-none,12,2,1,72,1141881,15859
list-il-none,12,2,1,72,573487,7965
list-dl-none,12,2,1,72,393870,5470
list-i-none,12,4,1,144,382094,2653
list-il-none,12,4,1,144,409278,2842
list-dl-none,12,4,1,144,729983,5069
list-i-none,12,8,1,288,522545,1814
list-il-none,12,8,1,288,602546,2092
list-il-none,12,32,1,1152,1732737,1504
list-none-none,1,1000,1,3000,3754107,1251
list-none-none,8,1000,1,24000,59383535,2474
list-none-none,12,1000,1,36000,110137202,3059
list-none-s,1,1,1,3,115066,38355
list-i-s,1,1,1,3,188953,62984
list-l-s,1,1,1,3,186058,62019
list-il-s,1,1,1,3,110351,36783
list-d-s,1,1,1,3,106490,35496
list-id-s,1,1,1,3,139131,46377
list-dl-s,1,1,1,3,105103,35034
list-idl-s,1,1,1,3,139463,46487
list-none-m,1,1,1,3,146368,48789
list-i-m,1,1,1,3,134497,44832
list-l-m,1,1,1,3,87890,29296
list-il-m,1,1,1,3,80596,26865
list-d-m,1,1,1,3,111533,37177
list-id-m,1,1,1,3,196673,65557
list-dl-m,1,1,1,3,83118,27706
list-idl-m,1,1,1,3,172967,57655
list-none-s,1,2,1,6,120005,20000
list-i-s,1,2,1,6,86549,14424
list-l-s,1,2,1,6,92745,15457
list-il-s,1,2,1,6,106451,17741
list-d-s,1,2,1,6,104243,17373
list-id-s,1,2,1,6,182887,30481
list-dl-s,1,2,1,6,91022,15170
list-idl-s,1,2,1,6,146109,24351
list-none-m,1,2,1,6,107517,17919
list-i-m,1,2,1,6,96762,16127
list-l-m,1,2,1,6,105118,17519
list-il-m,1,2,1,6,77393,12898
list-d-m,1,2,1,6,78342,13057
list-id-m,1,2,1,6,109862,18310
list-dl-m,1,2,1,6,104920,17486
list-idl-m,1,2,1,6,73145,12190
list-none-s,1,4,1,12,106936,8911
list-i-s,1,4,1,12,84142,7011
list-l-s,1,4,1,12,140067,11672
list-il-s,1,4,1,12,104765,8730
list-d-s,1,4,1,12,76695,6391
list-id-s,1,4,1,12,88235,7352
list-dl-s,1,4,1,12,74657,6221
list-idl-s,1,4,1,12,140000,11666
list-none-m,1,4,1,12,81203,6766
list-i-m,1,4,1,12,105389,8782
list-l-m,1,4,1,12,95928,7994
